,平台,情感短语,用户印象
168,微贷网,"[[['属于老平台', '考虑投资']], [['提利息管理费', '提现']], [['有实力']], [['是稳健']], [['没有每个月的详细运营报告团贷网ppmoney']], [['希望手机端也能尽快实现', '实现T加0']], [['重仓微贷', '看好车贷模式']], [['就是利息管理费没有', '没有明确标', '有差距', '造成新人的怀疑']], [['还是OK']], [['是能', '能t']], [['接到电话', '投收益']], [['来电话', '说我的加息券要过期']], [['听说微贷网这周去', '去成都', '得了一个旅行箱']], [['收6%'], ['投了10来个平台', '碰见第一个收费']], [['打了10分钟以上电话', '无人接', '是人为设置', '有跑路']], [['相信纯粹的理财平台', '喜欢能看到', '看到债权信息', '看到抵押信息', '感觉踏实', '关注了一段时间', '有很多续贷的标', '是展期的意思'], ['为是', '是逾期了再发', '发一遍标']], [['投了一笔微贷网', '信任这家', '知道提现', '是什么情况']], [['有传闻要改名', '叫微贷银行']], [['回款', '算不错', '就是利息费希望', '希望取消', '提高点投资者收益']], [['是有', '有利息管理费', '知道其他大平台收']], [['提前还款', '还款从不短信通知', '等到还款日', '重仓', '体验最差的网站', '投了十多个平台', '提前还款', '有短信通知.', '看谁有', '有谁提前', '提前还款']], [['开始提现', '去哪', '打客服电话', '没人接'], ['是所谓的大平台']], [['打算入手', '希望下次能多搞', '搞点这样的活动']], [['感觉好赞']], [['入股商业银行']], [['算低']], [], [['作抵押'], ['查询了我在微贷上面所有的投资记录', '没有汽车']], [['有投资人见面会']], [['是难抢']], [['值得投资', '是最近的一些活动太复杂', '使人看', '看了有些云里雾里', '比如最近的活动增值加息红包什么', '建议：搞', '搞活动', '使人们一目了然'], ['不知其他投资人是否有', '有共鸣']], [['提现', '到银行卡', '等钱', '等死']], [['出来了新产品', '希望越来越好']], [['预热可以', '期待下个月']], [['搞活动', '搞加息']], [['就是V5也不过是', '是6%', '赶上银行理财'], ['搞出个X智投', '出个X智', '投也就那么回事', '没吸引力'], ['缺人投资', '适合小白']], [['算可以', '是提现'], ['如人人贷', '是秒到', '说，工作日提现也是', '是慢的要死', '是无', '无语']], [['开个投资人见面会'], ['送什么礼品', '没动静']], [['支持微贷']], [['有待提高', '提高一直在关注', '关注准备', '准备试水']], [], [['没有资金保障', '逾期无限']], [['是收益一般', '希望早日备案']], [['抵贷', '受影响']], [], [['开始关注', '关注平台', '开始投资']], [['入股银行'], ['保持安全']], [], [['有平台', '肯定第一']], [['决定去', '看看古城']], [['有一段时间', '感谢微贷粽子节', '加息福利']], [['有什么门槛']], [['听说入股', '入股银行', '看好前景']], [['破千亿']], [['期待像五周年一样活动多多，真正回馈', '回馈投资人']], [['是大势所需', '希望服务不要降低']], [['是最坑的地方', '投完一标'], ['想投', '投长标', '成短标', '超过了七天']], [], [['说平安银行资金托管', '是真托管', '还是就把钱存一下的假托管']], [], [['做投资', '观其变']], [['是准时回', '回款']], [['远离吸血虫平台']]]","['平台老', '月详细', '平台大', '网站差', '平台大', '产品新', '收益一般', '银行平安', '钱假']"
169,立业贷,"[[['就是想', '想问', '问一下网贷之家', '是风投系'], ['是啥']]]",[]
170,融金所,"[[['没机会']], [['投1次'], ['想好好投标', '买他家的V4']], [['没有资金托管']], [], [['等着倒闭']], [['经过了经', '是个好平台']], [['就是活动太少']], [['请问你们平台靠什么赚钱'], ['看你们资金净流入一直处于', '处于低水平', '待收'], ['搞不懂你们靠什么赚钱', '养活那些工作人员']], [['投了有', '有半年', '就是觉得', '觉得收益相比高', '开始注册', '回款'], ['是vip3或4的话', '投到标的'], ['是个不错的平台']], [], [['作为P2P车贷平台', '知道什么时候上线', '上线银行托管', '看好你', '让大家失望']]]","['平台好', '水平低', '收益高', '平台不错']"
171,企融信,[[]],[]
172,三信贷,"[[['开始加息', '有好几家平台已经超过', '超过你们的利率', '想换', '换平台', '考虑加息']], [['希望好好做']], []]",[]
173,皖都金融,[[['是一个老板骗子']]],[]
174,唐小僧,"[[['看好你']], [['推广链接', '赚广告', '是真的掉单'], ['投资了5万']], [['超过三天', '看不到，急人']], [['介绍开始', '开始接触', '接触唐小僧', '有点闲钱']], [], [['送0.88']]]",['掉单真']
175,宁创贷,[[['投一段时间']]],[]
176,工场微金,"[[['起投价', '投价100元', '还是非常适合', '适合刚毕业的学生来投资']], [['让人心里不安', '算太烂结果', '打成这样']], [['希望多出', '出些活动']], [['是怎么']], [], [['说什么通过360竞价注册的，没有', '竞价', '没有推荐人'], ['给解决'], ['推卸责任']], [['还是可以的排名在一步一步的靠', '靠前']]]","['人不安', '结果烂']"
177,聚宝珠,"[[['开始在这家投资'], ['值得点赞'], ['有去做', '做月饼'], ['值得期待']]]",[]
178,微金在线,"[[['来说还是', '还是比较高', '上线银行资金存管']], [['系背景']], [['还是比较靠谱']]]",[]
179,迷你贷,"[[['离不开您的宝贵建议', '感谢您留下的真知灼见']]]",['建议宝贵']
180,今金贷,"[[['投了上百家平台', '投过西北平台', '开始5万', '投过人', '有体会', '是个真真日上的好台子', '是西北的领头羊'], ['是它年标满的超级快', '有那么多人投年标'], ['等回来了果断复投'], ['支持小金金']], [], [['想充值', '充不进值', '问客服', '说是', '是民生银行没有快捷支付', '投团贷网']], [['要手续费2元']], [], [['推出高收益的标', '是让', '让我垂涎欲滴'], ['是做的牛轰轰']], [['怀疑评论', '是水军'], ['投了现在都还不成功']], [['有5%的股份', '发现也离职', '感觉一般']], [], [['是体验', '体验该升级']]]","['真真日好', '人多', '收益高']"
181,新新贷,"[[['是盈利平台']], [], [['待收', '像老平台', '有计划'], ['有推荐']], [], [['懂它排名', '排名第一', '是什么'], ['觉得好']], [['了解了一些产品', '进行了试投', '有什么问题', '找客服'], ['值得长期投资']], [['没法投资', '骗注册']], [['把风控', '是真正的的不跑', '跑路']]]",['平台老']
182,升值空间,"[[['有APP很方便', '是平台资金没有', '没有托管', '有托管', '算比较高']]]",[]
183,资本在线,"[[['发标十几个', '有一人', '是向投资人发出', '发出什么信号']], [['还是挺好', '体验都OK', '到账', '算是很高', '是大受', '受欢迎', '祝福资本在线', '是我投资', '投资了3年的平台']]]",[]
184,爱贷网,"[[['还是大平台保险']], [['没有融资方的名称', '让投资者怎么查征']], [['做了很多对我们投资者超级赞的福利活动', '期待接', '接下来更多的惊喜']], [['说好一个月的可以提现的月优宝本人四月十六号投资的昨天到期', '投下一个月', '告诉我下个月如果转让', '投下一个月坑比', '投这种霸王条款']], [['了解情况']], [['明白就多看', '看学习', '决定要不要买']], [['有银行托管', '放在平台上', '让客户看看']]]","['平台大', '月好']"
185,得易金服,"[[['是来', '来了投资的好地方']]]",['地方好']
186,金信网,"[[['是真慢四天都没到'], ['是我投的第一个平台'], ['是跟别的平台没法比', '说拜拜']], [['有三年的时间'], ['说我家房子装修钱就是', '装修钱', '就是用的部分赚取的收益', '真是一举两得'], ['继续投资', '希望金信越做', '做越好带', '带给我们更多的福利']], [['值得信赖']], [['需要五天', '祝早日倒闭']], [['算上双休', '要6天', '到账']], [['吸引资金', '宣称存', '存管', '还是大金融', '是部分存管', '是无', '无存管'], ['返现值', '达1.6%'], ['称本月才有', '吸引本金'], ['提前放假', '让提现', '过了好几天', '通知补息'], ['剩徐磊峰一个', '确认离职']], [['值得信赖', '使用这么长时间', '感觉很可靠']], [['投了几笔']], [['欺骗客户信']], [['发生逾期的情况'], ['上线了银行存管']], [['看出是', '是一家认真做事的平台']]]","['福利多', '金融大', '时间长', '感觉可靠', '平台认真']"
187,PPmoney网贷,"[[['需要2天以上']], [['是新手小试下', '希望平台健健康康的发展']], [['合规备案', '列前端', '值得信任']], [['是很高']], [['投这个平台', '投了小心被骗']], [['点评真假难分', '是雪亮']], [['是看到', '看到pp有', '有8888的体验金', '提取了收益', '收手续费', '觉得提样还可以就续', '投了另外一家安捷财富']], [], [], [['有技术问题']], [['有实力的平台', '有担当', '是个值得信任的平台', '值得信任']], [['没实力', '做活动', '骗钱']], [['提现无论金额大小无论时间长短每笔3元每笔3元每笔3元每笔3元'], ['盘剥10%利息', '盘剥10%利息', '盘剥10%']], [['就是利率较低']], [['继续会关注']], [['是这家最大的缺陷', '要钱', '注意：是', '是工作日', '遇到双休日', '准备好一个星期'], ['算大', '是免费秒到'], ['是个5岁小孩', '去“割', '割包皮', '让人爱']], [['是蛮稳定', '投什么', '不如宜人贷']], [['觉得还是', '还是十分不错']], [['是上网非常流畅'], ['是到期都能及时回款'], ['是客服态度非常好', '有问'], ['是安全靠谱', '有存管', '有排名', '有风投'], ['是人气足'], ['是，平台缺少', '缺少一个快速提现按钮', '希望能改进']], [], [['算高', '建议长期投资']], [['出现任何问题', '想都不用想', '是你自己操作', '操作出了问题']], [['处理一个问题', '是会长单位的办事效率']], [['投给了PPmoney']]]","['真假难', '财富安捷', '利率低', '缺陷大', '星期好', '态度好', '靠谱安全', '人气足']"
188,脐橙金融,[[['考虑增资中']]],[]
189,汇盈金服,"[[['感觉到现在标的都不好抢', '希望多发']], [['还是不错', '是标难抢']], [['参加六月活动', '发20奖励', '告知打', '打过电话'], ['查到那个未接', '问的有', '有朋友有', '有接到', '要求给', '给出证据'], ['总结：山东的真没', '没个像样的平台', '想想你们的本金'], ['死户口本']]]","['标的不好', '平台像样']"
190,诚汇通,"[[['继续支持']], [['是国企对平台的信任', '感觉老版', '是一个真心想', '想办', '办好平台', '想把平台长期经营下去的人', '加强征信'], ['出两年', '破50亿', '希望看到', '看到利息再降']], [['降利率']], []]",['平台好']
191,有利网,"[[['准备续']], [], [['明白规则', '希望立即获得', '获得收益'], ['达到自己想象的目的', '到账', '是这种货的新玩家']], [['无忧', '转出到余额居然要', '要两个工作日', '要工作日', '是利率很高']], [['上存管平台', '披露不明', '靠前']], [['希望用户体验可以做']], [['投资有利网', '要求透明'], ['得到国庆', '确认计息'], ['装国有银行的傲慢'], ['有详细说明'], ['满一年', '碰这家']], [], [['感觉很平稳']], [['有加息活动', '感觉比较稳定的平台']], [['没有可以兑换的商品', '有不定期发放']], [['是利率低']], [['标红包']], [['有以下三个特征之一1.开设', '开设银行个人子账户', '分配实际', '估计是', '是大账户模式', '是用户看不见的虚拟子账户', '进行3.充值'], ['请平台解释']], [['开始进'], ['希望多为投资者带来', '带来更多的更好的更安全的收益']], [], [['有安全感', '有风险']], [['无忧', '随用随取', '明白是', '是什么样的标的可以随用', '用随取']]]","['规则明白', '货新', '利率高', '银行傲慢', '感觉平稳', '感觉稳定', '利率低', '账户大', '投资者多', '收益多']"
192,财小喵,"[[['是有点烦', '是老手', '是一次性完成'], ['投资P2P', '有3年投资经历', '是这儿的新手', '是平台跑', '跑路', '带来高收益', '做好风控', '是看到', '看到已经有', '有银行存管'], ['希望以后每次能及时收回', '收回投资']], [['投这个平台', '打算试试', '试试追加']]]",['收益高']
193,微银理财,"[[['喜欢理财这类', '看到这个微银理财']], [['投资米庄']], [['算是比较好', '适合大众', '希望能越做', '给更多投资者一个健康的投资场所']], [['还有非常专业的投资理财顾问指导']]]",['投资者多']
194,融投贷,"[[['坐等备案', '相信你融投贷']]]",[]
195,信融财富,"[[['观察观察']], [['存管标', '存管标', '提现工作日两天', '还有提现时的手机验证码']], [['希望平台真实', '有良知']], [['继续投入']], [['希望尽快上线', '上线银行存管', '让投资者更安心']], [['准备投资', '觉得好的话']], [], [], [['是投之家的关系']], [['观察再决定']], [['投了上市', '希望能与协众一样加入', '加入第三方资金托管']], [], [['排名50以内收益中上'], ['为０', '有标可投'], ['有积分', '投了20万', '成现金1000多元'], ['比起每笔2-5元提现费不在话下'], ['是VIP3', '提现费每笔2元']], [['就是利息低']], [['是很多'], ['感觉整个流程还不错'], ['踩雷', '是小雷', '上不了根本']], [['算中规中', '中矩']], [['有一段时间', '算是有', '有进步'], ['希望能尽快拿', '拿到备案']], [['开始就投资']]]","['平台真实', '投资者安心', '话好', '利息低', '流程不错']"
196,合盘金服,"[[['保持稳定发展', '坚持小额']], [['开始玩', '投个月标', '试试手']], [['算可以']], [], [['投了这么多年第一次流标', '就两三个标的', '是没', '没谁']], [['出现任何问题', '还是比较靠谱']], [['有风险']], [['需要竞价']], [], [['是为了藏宝图来']], [], [['还是放心点']], [['发生过一次逾期']], [], [['并非真实体验']], [['投资3月标'], ['希望公司合规稳定发展']], [], [['投了一笔']], [['有几个功能', '合心意']], [], [], [['上了银行存管']], [['觉得合盘']]]",['公司稳定']
197,贷贷网,"[[['利用虚假合同', '跑路', '没有任何声明', '泯灭人性', '践踏法律']], [['用了一段时间']], [['跑路', '是假国资系控股的平台', '投资此类平台']], [['知道了，该平台股东是', '是中国机床总公司广州公司控股', '是有名的老赖'], ['跑路', '擦亮眼睛']], [['为中国机床公司广州公司控股', '俊打着国资系', '骗取投资人信任', '使投资人血本无归']], [['投贷贷网', '跑路', '是中国机床总公司广州公司控股', '是个大骗子', '骗钱'], ['走人啰']], [['点击图片']], [['是打', '打着国企的名号', '骗钱', '跑路'], ['是一个老赖大骗子', '还钱', '死光光']], [['跑路', '属高危平台']], [['是中国机床广州公司弄', '弄出来骗钱的假p2p公司', '骗钱', '是假', '是自融'], ['上当', '是血汗钱']], [['搜下星辰金服', '是国企机床控股']], [], [['受到惩罚', '付出代价']]]","['合同虚假', '国资系假', '老赖有名', '骗子大', '老赖大', '钱假']"
198,前海航交所,[[['算不错放心']]],[]
199,极光金融,"[[['看路', '需要提高']], [['看看什么情况']], [['体验什么', '习惯t']], [['抢不到标']], [], [['投了一段时间', '是这段时间标不多']], [['有很多产品']], [['是最好']]]",['时间多']
200,惠众金融,"[[['临近年底', '希望能稳稳赚', '稳稳赚一笔']], [['说是我投资过的体验', '体验最好的平台'], ['没有之一'], ['投过几个平台'], ['放闲钱宝']], [['有app', '赞一个']], [['点个赞', '希望平台继续', '继续努力']], [['投多少']]]",['平台好']
201,聚金资本,"[[['觉得小'], ['需要人工审核', '漏接了3通', '联系上我'], ['是我一样情况', '接客服电话']], [['负责任', '解决问题']], [], [['放这里']], [], [], [['是朋友给我介绍的平台'], ['去他们公司', '转了一圈', '知道他们都4年']], []]",[]
202,银狐财富,[[]],[]
203,安心贷,"[[['看见我得', '得评论', '到期提现手续费21块', '赚了50快钱.']], [['是不错']], [['说投资标底不好抢', '改进改进']], [['看看安心贷', '安心贷怎么样']]]",['标底不好']
204,金开贷,"[[], [['是真国资']]]",[]
205,小资钱包,"[[['是合规']], [['有存管'], ['支持小资钱包']], [['感觉非常靠谱'], ['赚了8万']]]",['感觉靠谱']
206,微镇,"[[['选择不同企业'], ['控制风险']], [['为零']]]",['企业不同']
207,蚂蚁在线,"[[['有一次到期', '是挺多']]]",[]
208,百长钱包,[[['有投资']]],[]
209,普汇云通,"[[['就是提现', '提现收费', '分存管和非存管两系统']], [['祝贺小普1月评级保持', '保持第64名']], [['做活动投', '是认证的时候走', '走了弯路', '喜欢建议', '建议平台的提现手续费能低']], [], [], [['上存管']], [['提示我有', '有风险', '是怎么回事']], [], [['相信应该让', '让投友满意']], [['显示，账户资金存在', '存在风险', '请与客服联系', '申请原路退回', '退回银行卡']], [['是假存管', '接一个存管标', '逗投资人']], [['感觉还可以', '是普通帐户扣', '扣管理费']], [['收利息管理费']], [['玩文字游戏']], [['投资收益', '有一定吸引力', '提高知名度']], [['有什么理由', '驳回我的提现']], [['本着安全至上的原则', '追求高息', '坚持做', '做到分散投资']], [['影响收益', '存管', '存哪门子']], [['继续投', '继续观察']], [['说，从昨天晚上开始网站打'], ['打开我'], ['有个瞎子跑', '骂别人瞎'], ['是28日凌晨到9点维护'], ['麻烦你先治疗', '治疗眼疾', '治疗嘴臭', '讨论问题']]]","['平台低', '存管假', '帐户普通', '原则安全']"
210,易融恒信,"[[['问客服问题', '得到回应', '就是平台网站偶尔不稳定']], [['希望平台继续', '保持稳定性', '让我们这些理财人能继续', '继续赚', '赚收益']], []]",['平台稳定']
211,拍拍贷,"[[], [['还有5万多累计', '累计收益', '爆出大量坏帐', '有3万收益', '无收', '倒贴一万', '负责任坑爹平台']], [['加强审核力度']], [['选过利息太高的标', '出现过逾期', '要对自己评价客观', '想选择', '选择一家平台', '看评价', '有不真实评价', '喜欢说', '说真话', '负责任']], [['想跟银行的人墨迹']], [['觉得用拍拍贷的消费信贷挺好', '需要这种']], [], [], [['查不到实缴资金'], ['是怎么回事']], [['希望采取', '采取措施', '降低坏账']], [['设自动投', '投AA', '覆盖逾期坏账', '高于彩虹'], ['观察到许多借款标有', '有一次还清再借的记录', '是正常还款率的2倍以上', '不知是否为平台有意', '为平台', '有意为', '为之', '增加平台', '拉低逾期率', '待加强', '加强免得成为', '成为骗贷与老赖的天堂']], [['有投', '算安全排名靠前']], [['看拍拍贷昨日数据', '为0', '是怎么回事']], [['超过过去两年的收益']], [['强迫续订', '有这种现象']], [['看好这个互联网金融的先驱'], ['它们不安全'], ['投风险标惨不忍睹', '看了看账户的逾期率', '看账户'], ['管你投资人如何']], [['找我', '认为可以理财']], [], [], [['想投', '投拍拍贷', '拍拍贷信用标的', '请立即绕道'], ['有问题', '赚手续费'], ['有一个清醒的认识', '下载我爱卡搜索', '拍拍贷相关舆情'], ['逾期无数', '是如何通过审核被投标下款的，借', '借到手', '打算还'], ['是真特么气']], [], [['没有活期', '只有定期']], [], [['是逾期']], [['逾期超高', '是老赖的天堂']], [['达到18%'], ['退出走人']], [['希望数据透明', '准备重仓']], [], [['是个摆设']], [], [['怕怕', '怕贷'], ['想把自己摘', '是昭告天下本平台', '是不负责任的平台', '负责任'], ['逾期286天12000多元', '逾期254天130多元', '没有任何解释'], ['投此平台']], [['希望能收回', '收回本金']], [['是怎么'], ['想咨询', '拍活宝', '无人接', '接电话']], [['让他催款', '说投资散标就要做好', '做好亏本的准备']], [['帮了我的大忙']], [['瞧瞧新人专享标'], ['说收益10%体验'], ['是就第一天收益正常，第二第三基本上减半'], ['是等额本息', '请把每天的本息发', '发回投资者投资者', '去复投']], [['有很多坑']], [['去银行', '就是互联网金融的好处']], [['开始火', '忽视风险']], [['是小白都能玩', '开始玩', '建议还是投', '投一些安全类的标的']], [['是一个骗子平台']], [['投了一段时间', '是门槛低', '是存', '存银行', '算是找']], [], [['是个黑人给借款人放', '赚差价', '问几个敏感问题', '买标', '是注意']], [['算不错', '还是比较安全', '去公司', '觉得有', '有潜力']], [['是来学习', '看看排名靠前的都怎么样']], [['值得信任']], [['靠前', '打算陆续辙']], [['跑路', '建议投']], [['知道网贷之家怎么推荐', '收了多少钱']], [['还是有人投资', '拍拍贷文字游戏', '设陷阱']], [['催收']], [['下款']], [['投资了拍活宝和彩虹计划的路过', '拍活宝']], [['上存', '提升一大截', '有优势']], [['算不错', '感觉网站和APP有', '有点不一致', '忽悠不专业', '听说老赖比较多']], [['是最合', '合规最透明的平台', '符合国家监管方向']], [['提供借款人的“审核信息', '感觉有', '有种平台和借款人合起来骗钱的感觉', '骗钱'], ['有一个电话', '建议发标时提供', '提供借款人的审核信息']], [['投几万元']], [['有名气'], ['知道这样既坑', '坑贷款者', '忽悠投资者的平台']], [['烧高香']], [], [['呈爆发式发展', '存在鱼龙混杂的问题'], ['敢在互联网上投资', '想开始尝试']], [['问一个', '没有ICP备案'], ['是绝对不允许']], [['提示提现一个工作日到', '到帐10元', '收10元']], [['买手机什么']], [['是行业中纯信用平台的鼻祖'], ['了解学习', '注意分散', '投安', '超标满盘皆输']], [['是新手', '看了评论']], [['是因为', '碰到坏账', '有40几天', '回款'], ['加上有', '有很多借款人会提前', '提前还款', '在20%', '达到了17%']], [['吃利息']], [['看到和滴滴的活动', '领到了滴滴的优惠券', '有啥新活动']], [['珍爱生命', '远离拍拍贷'], ['知道赚中介费的平台有', '赚中介费', '有什么可留恋']], [['等着我起诉', '起诉你们', '有你们欺诈的证据'], ['毫无意义']], []]","['利息高', '信贷好', '记录清', '还款率正常', '特么气真', '数据透明', '忙大', '收益正常', '类安全', '门槛低', '问题敏感', '老赖多', '平台透明', '行业纯']"
212,丁丁金服,"[[['还是资金站岗']], [['存管', '想到对方竞', '挂电话']], [['是工薪阶层', '关注丁丁大约1年半的时间', '有1年', '换新的办公地址', '是在', '还是和一线的大平台有', '有差距', '拿客户端', '有了但安卓暂时还没新版，像是', '是这种细节', '希望能尽快改善']], [['还要管理费']], [['做事业']], [['值得期待成为', '成为区域龙头']], [['感觉到借款的人多', '作过冬平台', '不失为一个很好的选择']], [], [['是可以', '是难抢']]]","['地址新', '一线大', '人多']"
213,申鼎互金,"[[['到账']], [['是平台活动太少', '积累多人气']], [['关注这个平台', '有点少']], [['给女神节小礼物']], [['参加过一次周年庆']]]","['平台少', '人多', '女神节小']"
214,融益汇,[[]],[]
215,财神爷爷,"[[['醉人'], ['留住人投资']]]",[]
216,闲钱宝,"[[['实现了客户资金银行存管的网贷平台']], [['是华兴银行资金存管', '是很好']]]",[]
217,玺鉴,"[[['是逾期', '逾期一天']]]",[]
218,华丰金融,[[]],[]
219,1号投,"[[['建议优化', '优化提现系统']], [['是刚接触']]]",[]
220,信和贷,"[[['到账'], ['有投的平台']], []]",[]
221,琥珀金服,"[[['还是比较合理', '是在观察一个月时间左右才开始', '观察一个月时间', '开始投'], ['还是比较满意']]]",[]
222,无界财富,"[[], [['赚碎片', '买红包']]]",[]
223,鑫合汇,"[[['想说', '说满标情况下流标问题责任不在', '在投资人', '是平台对项目把控', '是平台发布的是', '是虚假标太过随意'], ['发三月标']]]",['标太虚假']
224,晋商贷,"[[['让人喜忧参半', '退出平台']], [['从事什么工作', '拼体力', '成就一番事业']], [['继续支持']], [['是见', '见过所有平台中的奇葩', '沒有之一'], ['有15%几个意思']], [['算不错', '是数百万大标']], [['不知这样的日子会有', '有多久', '希望平台越来越好']], [], [['是卷铺盖走人的日子']], [['是跑路的节奏']], [['感觉不错', '祝平台长长']], [['没竞争力']], [['以为是', '是煤老板自融']], [['希望今后越做']], [], [['加那些群号', '驶得万年船']], [['有长期标', '估计是', '是配合', '配合监管', '适应市场发展'], ['祝越来越正规']], [['希望秉承', '秉承晋商千年传统', '做大做']], [['加强规范', '规范管理']], [['提现一笔']], [['是:应尽早实现', '实现存管']], [['成为行业标杆']], [['细看所发标', '合750元/吨'], ['借款500万'], ['是火中取栗'], ['是在一片质疑中确实已运营']], [['说没', '没费用', '买vip逾期返本金60%']]]","['平台好', '感觉不错', '平台长长']"
225,随取宝,"[[['适合作为', '作为活期投资的平台']]]",[]
226,广富宝,"[[['做小额贷款']], [['是标少而且难抢', '等到何时']]]",[]
227,土豆金服,[[['继续关注']]],[]
228,蝴蝶银,"[[['适合保守型']], [['算是一个比较奇葩的平台', '开展业务'], ['是做', '做什么', '注册5亿人民币', '送IPX', '使用加息券', '是渠道数据', '达42%', '时候10%的佣金', '听说也有', '有6%的佣金第三：信息披露完全没有', '成交了多少', '是什么样', '没几个人', '知道P2P是', '是做', '做什么'], ['出一辙', '参考附图第六', '说是', '是上', '上了银行存管', '挂了一个空壳第七：一年的时间', '换了8届高管']], [['解决问题效率好高']], [['算是满意']]]","['平台奇葩', '佣金完全', '问题好']"
229,淘金汇,[[['有新活动']]],[]
230,国泰·惠民益贷,[[['发现什么问题']]],[]
231,利好贷,[[]],[]
232,e葱金融,[[['值得表扬']]],[]
233,来融金服,"[[['没有银行存管', '知道还能不能提现'], ['是私人', '没有抵押物', '没有担保', '到款'], ['实缴资金八百多万', '没有实业背景', '租个办公室']]]",[]
234,饭饭金服,"[[['是有', '有时间规律购买']]]",[]
235,中国融信贷,"[[['逾期3万', '到账'], ['骗原客服'], ['投了同一标的']]]",[]
236,联金所,"[[['是刚通过', '通过之家注册', '用红包'], ['有两个版本']], [['到账'], ['到账']], [['是很多', '觉得网站的年化利率挺高', '有活动'], ['记住投资者的需求', '提醒有', '有款项', '到账', '有合适的标']], [['是第一次在平台投资', '希望不要出现', '出现什么跑', '跑路']]]",['标合适']
237,德众金融,"[[['支持德众', '规范我才会推荐', '推荐家人投资', '推荐不认识的人', '承担不了这个责任', '说，好的平台']], [['是100万以内的标']], [['开始投资', '感觉利率能满足', '满足我的需求']], [['是比较合规的平台', '合规', '参考网贷之家网贷天眼的一些合规评分', '网贷天眼', '合规', '说排', '排前50名的样子', '感觉很多投资人都不知道']], [['就是项目期限长', '建议不要只针对企业开放贷款，公司白领', '开放贷款', '有稳定居所', '是靠谱平台要看', '看能否经得起', '经得起考验']], [['看你们评论', '评论观察', '观察了一段时间才投资', '看好跟着政策走的平台', '跟着政策']], [['感觉还不错', '试着投资中']], [['说靠谱']], [], [['选好了安全过冬平台', '希望大家多多关注', '关注德众金融']], [['没办法', '投预约', '预约标'], ['联系客服', '需要一个密码']], [['是秒到', '是你们']], [['投了5个项目', '还有一个转让'], ['叫少数', '看大家有', '有必要把逾期的项目和担保公司都公布']], [['关注了下的德众金融', '看到有', '有很多网友对这个平台抱', '有片面的看法', '希望各位投友都能从全观看待', '看待问题']], [['逾期近8个月', '问就是', '是资金还沒有', '沒有到位', '不知这辈子能不能到位', '说再见']], [['求你们了快还钱吧']], [['结束认购'], ['推出相应的产品'], ['看到你们网站发的公告', '结束认购', '希望后期还有', '还有类似产品推出']]]","['平台好', '居所稳定', '感觉不错', '平台好', '项目必要', '看法片面', '月近', '产品类似']"
238,辉煌易贷,"[[['有说服力', '加大投资中', '需要加强']]]",[]
239,汇通易贷,"[[['看后期发展', '得个人把握']], [['还是比较放心']], [['提供了透明、公开、直接、安全的小额贷款', '贷款信用交易', '发布借款', '请求以满足', '满足个人的资金需要']], [['有回款', '知道提现一般是', '是多久到', '到账'], ['找不到在线客服']], [['开通了银行存管', '进行了升级']]]",['额透明']
240,礼德财富,"[[['有托管', '有保证', '看这还是', '还是挺靠谱', '就是么有', '有理财日历', '希望改进']], [['支付充值', '问客服', '让我不超过', '超过5000支付', '换成小额', '害怕哪天一不小心把我卡里的钱划', '碰到充值', '收高额手续费', '浪费时间']], [['上了银行存管', '希望做', '放心投资']], [['希望老板做', '做良心平台', '打造一个老百姓的平台']], [['充满跑路气质', '赞助什么足球队']], [['提现怏']], [['投了几笔体验']], [['有VIP活动', '入手了VIP', '开VIP实惠']], [['是比较知名的老平台'], ['满意这平台的收益', '值得重仓的平台之一']], [['投了礼德财富', '是重仓的平台之一', '是项目到期', '是个不错的平台']], []]","['卡小心', '平台知名', '平台不错']"
241,好又贷,"[[['开始投', '投好又贷', '算是资深老客户'], ['有人说', '说上市公司占', '占比', '缴一个亿'], ['有问题', '去上市公司', '当股东拿', '拿分红']], [['让投资者一眼能看出', '看出每收益']], [['注册了账户', '想充', '充点钱'], ['来电话', '算可以', '应该每个客服服务的客户', '有提成'], ['处在停牌重组阶段', '没有股权上市']], [['系平台'], ['值得推荐']], [['达5天', '属不可描述词不可描述词不可描述词平台', '有当日起息的平台', '有隔日起息的平台', '见过好又贷这么不可描述词不可描述词不可描述词的平台', '需要你来匹配'], ['借款资产端', '融个毛线']], [['等待银行存管', '没有动静']], [['期待存管系统尽快正式上', '上线', '期待六月活动多多']]]","['客户老', '系统正式']"
242,微E贷,[[['希望越来越好']]],[]
243,雪山贷,"[[['去官网', '觉得雪山贷还是挺好']], [['希望继续', '继续发展']], [['值得信任']], [['感觉收益好好'], ['希望平台稳健发展']]]","['雪山贷好', '收益好好', '平台稳健']"
244,前沿财富,"[[['始转投前沿', '让人感觉', '就是踏实', '作为长期投资理想平台']], [['没银行存管', '备案了我就投入', '投入你']], [['观察前沿', '是个小而美的小平台', '认为是', '是最严苛的他们还开创了这个行业的视频年审环节从贷前调查贷中审查贷后催收整个风控环节做的非常到位', '开创了这个行业的视频年审环节', '是比较低的所以现在重仓前沿']]]","['平台小', '行业严苛']"
245,双喆投资,[[['赚取了收益投资安全最重要']]],['收益安全']
